id,account_prefix,analytic_distribution,company_id/id,product_id/id,vehicle_id/id
marin.analytic_distribution_model_1219,401.04.00,"{""1110"": 100.0}",marin.company_lmmr,marin.product_product_1455,
marin.analytic_distribution_model_1220,501.01.00,"{""1110"": 100.0}",marin.company_lmmr,marin.product_product_1455,
marin.analytic_distribution_model_1221,401.04.00,"{""1111"": 100.0}",marin.company_lmmr,marin.product_product_1457,
marin.analytic_distribution_model_1222,501.01.00,"{""1111"": 100.0}",marin.company_lmmr,marin.product_product_1457,
marin.analytic_distribution_model_1223,401.04.00,"{""1112"": 100.0}",marin.company_lmmr,marin.product_product_1458,
marin.analytic_distribution_model_1224,501.01.00,"{""1112"": 100.0}",marin.company_lmmr,marin.product_product_1458,
marin.analytic_distribution_model_1225,401.04.00,"{""1113"": 100.0}",marin.company_lmmr,marin.product_product_1459,
marin.analytic_distribution_model_1226,501.01.00,"{""1113"": 100.0}",marin.company_lmmr,marin.product_product_1459,
marin.analytic_distribution_model_1227,401.04.00,"{""1114"": 100.0}",marin.company_lmmr,marin.product_product_1460,
marin.analytic_distribution_model_1228,501.01.00,"{""1114"": 100.0}",marin.company_lmmr,marin.product_product_1460,
marin.analytic_distribution_model_1229,401.04.00,"{""1115"": 100.0}",marin.company_lmmr,marin.product_product_1461,
marin.analytic_distribution_model_1230,501.01.00,"{""1115"": 100.0}",marin.company_lmmr,marin.product_product_1461,
marin.analytic_distribution_model_1231,401.04.00,"{""1116"": 100.0}",marin.company_lmmr,marin.product_product_1465,
marin.analytic_distribution_model_1232,501.01.00,"{""1116"": 100.0}",marin.company_lmmr,marin.product_product_1465,
marin.analytic_distribution_model_1233,401.04.00,"{""1117"": 100.0}",marin.company_lmmr,marin.product_product_1476,
marin.analytic_distribution_model_1234,501.01.00,"{""1117"": 100.0}",marin.company_lmmr,marin.product_product_1476,
marin.analytic_distribution_model_1235,401.04.00,"{""1118"": 100.0}",marin.company_lmmr,marin.product_product_1477,
marin.analytic_distribution_model_1236,501.01.00,"{""1118"": 100.0}",marin.company_lmmr,marin.product_product_1477,
marin.analytic_distribution_model_1237,401.04.00,"{""1119"": 100.0}",marin.company_lmmr,marin.product_product_1481,
